onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
386.7960000000	n/a	n/a	STATUS	n/a	n/a	S204
744.2520000000	n/a	n/a	STATUS	n/a	n/a	S205
768.5480000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
772.2580000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
772.6920000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
774.7480000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
776.4580000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
777.0020000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
779.0600000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
782.3460000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
782.8720000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
784.9280000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
786.0460000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
786.5100000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
788.5660000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
792.6200000000	n/a	n/a	RESP: No Response	n/a	n/a	S105
793.0260000000	n/a	n/a	FB: No Response FB	n/a	n/a	S  7
795.0820000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
796.7900000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
797.3460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
799.4000000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
800.9180000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
801.3040000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
803.3560000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
804.1260000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
804.6500000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
806.7040000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
809.1700000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
809.5340000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
811.5880000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
813.2740000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
813.8280000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
815.8820000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
816.7700000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
817.1240000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
819.1780000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
819.9940000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
820.5080000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
